60,"BACH, Johann-Sebastian",Sonata for Flute and Harpsichord in C major,BWV1033,Ch,CBS Masterworks 39746,"Jean-Pierre Rampal: Flute; Trevor Pinnock, Harpsichord; Roland Pidoux, Cello "
61,"BACH, Johann-Sebastian",Sonata for Flute and Harpsichord in E,BWV1031,Ch,CBS Masterworks 39746,"Jean-Pierre Rampal: Flute; Trevor Pinnock, Harpsichord; Roland Pidoux, Cello. Also Columbia YT 34630: Jean-Piere Rampal, Flute; Robert Veyron-Lacroix, Harpsichord"
62,"BACH, Johann-Sebastian",Sonata for Flute and Harpsichord in E major,BWV1035,Ch,CBS Masterworks 39746,"Jean-Pierre Rampal: Flute; Trevor Pinnock, Harpsichord; Roland Pidoux, Cello "
63,"BACH, Johann-Sebastian",Sonata for Flute and Harpsichord in E minnor,BWV1034,Ch,CBS Masterworks 39746,"Jean-Pierre Rampal: Flute; Trevor Pinnock, Harpsichord; Roland Pidoux, Cello "
64,"BACH, Johann-Sebastian",Sonata for Flute and Harpsichord in G minor,BWV1020,Ch,CBS Masterworks 39746,"Jean-Pierre Rampal: Flute; Trevor Pinnock, Harpsichord; Roland Pidoux, Cello. Also Columbia YT 34630: Jean-Piere Rampal, Flute; Robert Veyron-Lacroix, Harpsichord"
65,"BACH, Johann-Sebastian",Sonata for Viola da Gamba and Harpsichord  #1,BWV1027,Ch,CBS MK 37794,"Yo-Yo Ma, Cello; Kenneth Cooper, Harpsichord. Also Cass. 11-A/B: Same recording"
66,"BACH, Johann-Sebastian",Sonata for Viola da Gamba and Harpsichord  #2,BWV1028,Ch,CBS MK 37794,"Yo-Yo Ma, Cello; Kenneth Cooper, Harpsichord. Also Cass. 11-A/B: Same recording"
67,"BACH, Johann-Sebastian",Sonata for Viola da Gamba and Harpsichord  #3,BWV1029,Ch,CBS MK 37794,"Yo-Yo Ma, Cello; Kenneth Cooper, Harpsichord. Also Cass. 11-A/B: Same recording"
68,"BACH, Johann-Sebastian",Sonata for Violin and Basso Continuo in E minor (arranged for Violin & Strings by Respighi),BWV1023,Ch,ARTE NOVA Classics 74321,"Benjamin Schmid, Violin; Anthony Spiri, Harpsichord; Sebastian Hess, Cello. Also NAXOS 4.550194 (Arranged for Violin & Strings): Takako Nishizaki, Violin; Capella Istropolitana, Oliver Dohnanyi"
69,"BACH, Johann-Sebastian",Sonata for Violin and Basso Continuo No. 2 in G,BWV1021,Ch,ARTE NOVA Classics 74321,"Benjamin Schmid, Violin; Anthony Spiri, Harpsichord; Sebastian Hess, Cello. Also BBC Vol. 8/5: Andrew Manze, Violin; Richard Egarr, Harpsichord"
70,"BACH, Johann-Sebastian",Sonata for Violin and Continuo No. 5 in C minor,BWV1024,Ch,BBC Vol. 08/06,"Andrew Manze, Violin; Richard Egarr, Harpsichord"
71,"BACH, Johann-Sebastian",Sonata for Violin and Harpsichord No. 1 in B minor,BWV1014,Ch,ARTE NOVA Classics 74321,"Benjamin Schmid, Violin; Anthony Spiri Harpsichord. Also Leaf Music LM 216: Mark Fewer, Violin; Hank Knox, Harpsichord. Also DBX 114: Eduard Melkus, Violin; Huguette Dreyfus, Harpsichord"
72,"BACH, Johann-Sebastian",Sonata for Violin and Harpsichord No. 2 in A,BWV1015,Ch,ARTE NOVA Classics 74321,"Bejamin Schmid, Violin; Anthony Spiri, Harpcichord. Also BBC Vol. 8/5: Andrew Manze, Violin; Richard Egarr, Harpsichord. Also Leaf Music LM 216: Mark Fewer, Violin; Hank Knox, Harpsichord. Also C. DBX 114: Eduard Melkus, Violin; Huguette Dreyfus, Harpsichord "
73,"BACH, Johann-Sebastian",Sonata for Violin and Harpsichord No. 3 in E,BWV1016,Ch,ARTE NOVA Classics 74321,"Benjamin Schmid, Violin; Anthony Spiri Harpsichord. Also Leaf Music LM 216: Mark Fewer, Violin; Hank Knox, Harpsichord. Also DBX 114: Eduard Melkus, Violin; Huguette Dreyfus, Harpsichord"
74,"BACH, Johann-Sebastian",Sonata for Violin and Harpsichord No. 4 in C minor,BWV1017,Ch,ARTE NOVA Classics 74321,"Benjamin Schmid, Violin; Anthony Spiri Harpsichord. Also Leaf Music LM 216: Mark Fewer, Violin; Hank Knox, Harpsichord. Also DBX 114: Eduard Melkus, Violin; Huguette Dreyfus, Harpsichord"
75,"BACH, Johann-Sebastian",Sonata for Violin and Harpsichord No. 5 in F minor,BWV1018,Ch,ARTE NOVA Classics 74321,"Benjamin Schmid, Violin; Anthony Spiri Harpsichord. Also Leaf Music LM 216: Mark Fewer, Violin; Hank Knox, Harpsichord. Also DBX 114: Eduard Melkus, Violin; Huguette Dreyfus, Harpsichord"
76,"BACH, Johann-Sebastian",Sonata for Violin and Harpsichord No. 6 in G,BWV1019,Ch,ARTE NOVA Classics 74321,"Bejamin Schmid, Violin; Anthony Spiri, Harpcichord. Also BBC Vol. 8/5: Andrew Manze, Violin; Richard Egarr, Harpsichord. Also Leaf Music LM 216: Mark Fewer, Violin; Hank Knox, Harpsichord. Also C. DBX 114: Eduard Melkus, Violin; Huguette Dreyfus, Harpsichord "
77,"BACH, Johann-Sebastian",Two-Part Invention No. 6 in E,BWV0777,Ch,EMI 7243-5-56963,"Nigel Kennedy, Violin; Lynn Harrell, Cello"
78,"BARBER, Samuel",Summer Music for Woodwind Quintet,Op. 31,Ch,SONY-SMK 46250,"Susan Rotholz, Flute; Elaine Douvas, Oboe; Joaquin Valdepenas, Clarinet; Stefanie Przybylska, Bassoon; Robin Graham, Horn. Also BBC Vol. 12/11: Galliard Ensemble"
79,"BARTOK, Bela",Andante in A for Violin and Piano (1902),,Ch,NAXOS 8.550886,"Gyorgy Pauk, Violin; Jeno Jando, Piano"
80,"BARTOK, Bela","Contrastes for Clarinet, Violin and Piano",Sz 111,Ch,Harmonia Mundi 1951356,"Walter Boeykens, Clarinet; Marjeta Korosek, Violin; Robert Groslot, Piano"
81,"BARTOK, Bela",Hungarian Folk Songs (1934),Sz 066,Ch,100-A,"Igor Oistrakh, Violin"
82,"BARTOK, Bela",Hungarian Peasant Suite (1918) - Transcribed for Flute by Paul Arma,Sz 071,Ch,BR 121,"Michel Bellavance, Flute; Marc Bourdeau, Piano"
83,"BARTOK, Bela","Quintet for Piano and Strings (1903-04, Revised 1920)",,Ch,NAXOS 8.550886,"Jeno Jando, Piano; Kodaly Quartet: Attila Falvy, Tamas Szabo, Violins; Gabor Fias, Viola; Janos Devich, Cello"
84,"BARTOK, Bela",Rhapsody No. 1 for Violin and Piano (1928),Sz 086,Ch,NAXOS 8.550886,"Gyorgy Pauk, Violin; Jeno Jando, Piano"
85,"BARTOK, Bela","Rhapsody No. 2 for Violin and Piano (1928, revised 1945)",Sz 089,Ch,NAXOS 8.550886,"Gyorgy Pauk, Violin; Jeno Jando, Piano.  Also Cass. 112-A: Gyorgy Pauk, Violin; Peter Frankl, Piano"
86,"BARTOK, Bela",Sonata for 2 Pianos and Percussion (1937),Sz 110,Ch,SONY Classical,"Murray Perahia, Sir Georg Solti, Pianos; David Corkhill, Evelyn Glennie, Percussion. Also 119-B: Alfred Brendel, Charlotte Zelka, Pianos; Gustav Schuster, Roland Berger, Rudolph Minarich, Heinrich Zimmermann, Percussion"
87,"BARTOK, Bela",Sonata for Violin and Piano (1922),Sz 076,Ch,DG 289 435-507,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano"
88,"BARTOK, Bela",String Quartet No. 5,Sz 102,Ch,BBC Vol. 28/12,Calidore Quartet
89,"BAZZINI, Antonio",La Ronde des Lutins,Op. 25,Ch,EMI 7243-5-67005,"Jascha Heifetz, Violin; Emanuel Bay, Piano"
90,"BEACH, Amy",Romance for Violin and Piano (1893),Op. 23,Ch,BBC Vol. 26/02,"Elena Urioste, Violin; Michael Brown, Piano"
91,"BEETHOVEN, Ludwig Van","12 Variations on ""Ein Madchen oder Weibchen"" from Die Zauberflote",Op. 066,Ch,EMI 73332,"Jacqueline du Pre, Cello; Daniel Barenboim, Piano. "
92,"BEETHOVEN, Ludwig Van","12 Variations on ""See the conquering hero comes"" from Judas Maccabaeus",WoO 45,Ch,EMI 73332,"Jacqueline du Pre, Cello; Daniel Barenboim, Piano. "
93,"BEETHOVEN, Ludwig Van","14 Variations in E flat for Piano, Violin & Cello",Op. 044,Ch,Warner Classics 0946 3 50798,"Daniel Barenboim, Piano; Pinchas Zukerman, Violin; Jacqueline du Pre, Cello"
94,"BEETHOVEN, Ludwig Van","15 Variations in E flat for Piano, Violin & Cello, ""Kakadu Variations""",Op. 121a,Ch,SON SMK 47296,"Rudolf Serkin, Piano; Yuzuko Horigome, Violin; Peter Wiley, Cello"
95,"BEETHOVEN, Ludwig Van","Allegretto for Piano, Violin & Cello  in B flat",Wo0 39,Ch,Warner Classics 0946 3 50798,"Daniel Barenboim, Piano; Pinchas Zukerman, Violin; Jacqueline du Pre, Cello"
96,"BEETHOVEN, Ludwig Van","Allegretto for Piano, Violin & Cello  in E flat",H48,Ch,Warner Classics 0946 3 50798,"Daniel Barenboim, Piano; Pinchas Zukerman, Violin; Jacqueline du Pre, Cello"
97,"BEETHOVEN, Ludwig Van",Grosse Fuge in B-flat major,Op. 133,Ch,Supraphon 73302,"Smetana Quartet: Jiri Novak, Lubomir Kostecky, Violins; Milan Skampa, Viola; Antonin Kohut, Cello. Also Cass. 148B: Same Recording "
98,"BEETHOVEN, Ludwig Van",Quintet for Piano and Wind Instruments in E flat,Op. 016,Ch,SONY SMK 47296," Rudolf Serkin, Piano; Richard Stoltzman, Clarinet; Robert Routch, Horn, Alexander Heller, Bassoon. Also Cass. 143A: Murray Perahia, Piano; Black, Oboe; King, Clarinet; Halstead, Horn; Sheen, Bassoon"
99,"BEETHOVEN, Ludwig Van",Septet in E,Op. 020,Ch,DECCA 436 653,Wiener Octet. Also DG 3335 328: Berlin Philharmonic Octet
100,"BEETHOVEN, Ludwig Van",Serenade for String Trio in D,Op. 008,Ch,PHILIPS 456-317-2,"Grumiaux Trio: Arthur Grumiaux, Violin; Georges Janzer, Viola; Eva Czako, Cello"
101,"BEETHOVEN, Ludwig Van","Seven Variations on ""Bei Mannern welche liebe fuhlen"" from Die Zauberflote",WoO 46,Ch,EMI 73332,"Jacqueline du Pre, Cello; Daniel Barenboim, Piano. "
102,"BEETHOVEN, Ludwig Van",Sextet for Wind Instruments in E flat major,Op. 71,Ch,DECCA 436 653,Wiener Wind Soloists
103,"BEETHOVEN, Ludwig Van",Sonata for Cello and Piano No. 1 in F,Op. 005/1,Ch,EMI 73332,"Jacqueline du Pre, Cello; Daniel Barenboim, Piano. Also Cassette. 153-B: Christophe Coin, Cello; Patrick Cohen, Piano"
104,"BEETHOVEN, Ludwig Van",Sonata for Cello and Piano No. 2 in G minor,Op. 005/2,Ch,EMI 73332,"Jacqueline du Pre, Cello; Daniel Barenboim, Piano"
105,"BEETHOVEN, Ludwig Van",Sonata for Cello and Piano No. 3 in A,Op. 069,Ch,EMI 73332,"Jacqueline du Pre, Cello; Daniel Barenboim, Piano. Also BBC Vol. 10/9: Ralph Kirshbaum, Cello, Roger Vignoles, Piano"
106,"BEETHOVEN, Ludwig Van",Sonata for Cello and Piano No. 4 in C,Op. 102/1,Ch,EMI 73332,"Jacqueline du Pre, Cello; Daniel Barenboim, Piano"
107,"BEETHOVEN, Ludwig Van",Sonata for Cello and Piano No. 5 in D,Op. 102/2,Ch,EMI 73332,"Jacqueline du Pre, Cello; Daniel Barenboim, Piano"
108,"BEETHOVEN, Ludwig Van",Sonata for Violin and Piano No. 10 in G,Op. 096,Ch,DG 289-457-619,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano. Also 065-A: Yehudi Menuhin, Violin; Wilhelm Kempff, Piano. "
109,"BEETHOVEN, Ludwig Van",Sonata for Violin and Piano No. 4 in A minor,Op. 023,Ch,DG 289-457-619,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano. Also DECCA KSXC 6736-B: Itzhak Perlman, Violin; Vladimir Ashkenazy, Piano"
110,"BEETHOVEN, Ludwig Van","Sonata for Violin and Piano No. 5 in F, ""Spring"" ",Op. 024,Ch,DG 289-457-619,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano. Also DECCA KSXC 6736-B: Itzhak Perlman, Violin; Vladimir Ashkenazy, Piano"
111,"BEETHOVEN, Ludwig Van",Sonata for Violin and Piano No. 6 in A major,Op. 030/1,Ch,DG 289-457-619,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano"
112,"BEETHOVEN, Ludwig Van",Sonata for Violin and Piano No. 7 in C minor,Op. 030/2,Ch,DG 289-457-619,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano. Also 065-A: Yehudi Menuhin, Violin; Jeremy Menuhin, Piano. "
113,"BEETHOVEN, Ludwig Van",Sonata for Violin and Piano No. 8 in G ,Op. 030/3,Ch,DG 289-457-619,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano. Also DG 3300-292: Yehudi Menuhin, Violin; Wilhelm Kempff, Piano. Also RCA 09026-61265, Kreisler, Rachmaninoff "
114,"BEETHOVEN, Ludwig Van","Sonata for Violin and Piano No. 9 in A, ""Kreutzer"" ",Op. 047,Ch,DG 289-457-619,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano. Also DG 3300-292: Yehudi Menuhin, Violin; Wilhelm Kempff, Piano "
115,"BEETHOVEN, Ludwig Van",Sonatas for Violin and Piano No. 1 - 3,Op. 012,Ch,DG 289-457-619,"Anne-Sophie Mutter, Violin; Lambert Orkis, Piano"
116,"BEETHOVEN, Ludwig Van",String Quartet No. 1 in F,Op. 018/1,Ch,ATMA Classique AC02 2491,"Alcan Quartet: Laura Andriani, Nthalie Camus, Violins; Luc Beauchemin, Viola; David Ellis, Cello. Also DECCA-KSDC 478: Gabrieli Quartet: Kenneth Sillito, Brendan O'Reilly, Violin; Ian Jewel, Viola; Keith Harvey, Cello"
117,"BEETHOVEN, Ludwig Van","String Quartet No. 10 in E flat major ""Harp""",Op. 074,Ch,NAXOS 8.550562,"Kodaly Quartet: Attila Falvay, Tamas Szabo, vilins; Gabor Fias, Viola; Gyrogy Eder, Cello. Also 87-A/B: Lindsay Quartet: P., Cropper, R. Birks, R. Bigley, G.-Smith"
